Date,Close,Volume,EPS,Total Revenue,P/E,P/S
2019-07-01 04:00:00,129.6308135986328,22613500,5.82,143015000000.0,22.273335669868178,9.0641410760153e-10
2019-07-02 04:00:00,130.49072265625,15237800,5.82,143015000000.0,22.421086367053263,9.124268269499703e-10
2019-07-03 04:00:00,131.33148193359375,13629300,5.82,143015000000.0,22.56554672398518,9.183056457965511e-10
2019-07-05 04:00:00,130.94927978515625,18141100,5.82,143015000000.0,22.49987625174506,9.156331838279639e-10
2019-07-08 04:00:00,130.853759765625,16779700,5.82,143015000000.0,22.483463877255154,9.14965281723071e-10
2019-07-09 04:00:00,130.3760528564453,19953100,5.82,143015000000.0,22.40138365231019,9.116250243432179e-10
2019-07-10 04:00:00,131.7041015625,24204400,5.82,143015000000.0,22.629570715206185,9.20911104167395e-10
2019-07-11 04:00:00,132.22955322265625,22327900,5.82,143015000000.0,22.71985450561104,9.245852059060675e-10
2019-07-12 04:00:00,132.70726013183594,18936800,5.82,143015000000.0,22.801934730556003,9.279254632859207e-10
2019-07-15 04:00:00,132.70726013183594,16651500,5.82,143015000000.0,22.801934730556003,9.279254632859207e-10
2019-07-16 04:00:00,130.96844482421875,22726100,5.82,143015000000.0,22.503169213783288,9.157671910234503e-10
2019-07-17 04:00:00,130.1945343017578,20211000,5.82,143015000000.0,22.370194897209245,9.103557969566675e-10
2019-07-18 04:00:00,130.3378143310547,30381800,5.82,143015000000.0,22.394813458944103,9.113576501140068e-10
2019-07-19 04:00:00,130.52890014648438,48992400,5.82,143015000000.0,22.4276460732791,9.126937744046735e-10
2019-07-22 04:00:00,132.25820922851562,25074900,5.82,143015000000.0,22.72477821795801,9.247855765375354e-10
2019-07-23 04:00:00,133.0798797607422,18034600,5.82,143015000000.0,22.865958721777005,9.305309216567646e-10
2019-07-24 04:00:00,134.4461212158203,20738300,5.82,143015000000.0,23.1007081126839,9.400840556292718e-10
2019-07-25 04:00:00,133.93978881835938,18356900,5.82,143015000000.0,23.01370941896209,9.365436410052048e-10
2019-07-26 04:00:00,135.03848266601562,19037600,5.82,143015000000.0,23.202488430586875,9.442260089222502e-10
2019-07-29 04:00:00,134.7423095703125,16605900,5.82,143015000000.0,23.15159958252792,9.421550856225745e-10
2019-07-30 04:00:00,134.09263610839844,16846500,5.82,143015000000.0,23.039971839931003,9.376123910666605e-10
2019-07-31 04:00:00,130.1945343017578,38598800,5.82,143015000000.0,22.370194897209245,9.103557969566675e-10
